Model,F1_train,F1_test
Experiment1+SMOTE,0.638967079299231,0.31350878666234977
Experiment1,0.5450459811068875,0.3125620822326821
Experiment2+SMOTE,0.6751567129569304,0.30942150989364814
Experiment2,0.6117447157132518,0.30919394369676706
Experiment3+SMOTE,0.732510878378114,0.3200023297206284
Experiment3,0.6818883242735626,0.3389601875092745
Experiment4+SMOTE,0.7157177450218773,0.2945439373362201
Experiment4,0.7025087497989498,0.3144272027905309
Experiment5+SMOTE,0.7357486963754887,0.30456642969400693
Experiment5,0.7152742626415451,0.2931321333141821
